,Company Name,Job Title,Location,Salary Index,Summary
0,"Alambic Investment Management, LP",Data Scientist / Engineer,San+Francisco%2C+CA,0.0,"We are a small, entrepreneurial San Francisco-based quantitative investment firm looking for an addition to our research staff, ideally a PhD-level engineer,..."
1,Twitch,Data Scientist,San+Francisco%2C+CA,0.0,"We think of Emmett, the CEO, as Twitch’s original data scientist. Professional work as a Data Scientist at a web/mobile product company is preferred, but any..."
2,Dolby,[Summer Session] Social Media and Data Analysis Intern,San+Francisco%2C+CA,0.0,"Analyze online trends and data. Strong data analysis and communications skills, including writing. Experience and/or coursework in data analysis, communications..."
3,University of California San Francisco,Research Data Analyst,San+Francisco%2C+CA,0.0,"The Research Data Analyst will provide statistical geneticist expertise, and manage analytical and statistical genetics projects in the Asthma Collaboratory...."
4,University of California San Francisco,Research Analyst,San+Francisco%2C+CA,0.0,Assisting off-site research assistants with questions on survey administration and/or data tracking. Maintaining study surveys using a web-based survey software...
5,The Nielsen Company,Research Analyst/ Sr. Research Analyst,San+Francisco%2C+CA,0.0,"Data Processing Management. Oversee all data processing and tabulation activities:. Data cleaning, recoding, weighting schema development, tab spec creation,..."
6,Natera,Data Scientist,San+Francisco%2C+CA,0.0,"Natera is seeking a highly motivated Data Scientist , engineer or applied mathematician to join our rapidly growing company...."
7,Ancestry,Senior Data Scientist,San+Francisco%2C+CA,0.0,Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....
8,Ancestry,Scientific Data Wrangler,San+Francisco%2C+CA,0.0,"Working with a nimble team of physicians, geneticists, statisticians, computer scientists and epidemiologists, the Scientific Data Wrangler will be responsible..."
9,DiscoveRx Corporation,Scientist/Senior Scientist,San+Francisco%2C+CA,0.0,"Scientist/Senior Scientist position currently open at BioSeek, a division of DiscoverX for a highly motivated and innovative scientist with comprehensive..."
10,PR Hacker,Data Scientist,San+Francisco%2C+CA,0.0,"If so, you might make a killer Data Scientist (who we call a “data hacker”). Experience in moving data between APIs...."
11,Marcus & Millichap Company,Market Research Analyst,San+Francisco%2C+CA,0.0,"Ability to manage data and create statistical models. Handle large volumes of economic, demographic and real estate data...."
12,Genentech,Intern - Statistical Programming and Analysis,San+Francisco%2C+CA,0.0,"Data Science, Statistics, Biostatistics, Computer Science. Ideal candidate would be MS in data science, statistics, biostatistics degree candidates;..."
13,University of California Berkeley,"Associate Director of Data Analysis, Haas School of Business...",San+Francisco%2C+CA,0.0,"Experienced in working with a small to med size data warehouse. The University of California, Berkeley, is one of the world’s most iconic teaching and research..."
14,University of California San Francisco,Research Finance Analyst,San+Francisco%2C+CA,0.0,"The Department of Obstetrics, Gynecology and Reproductive Sciences (Ob/Gyn & RS) Research Enterprise includes clinical, translational, population and basic"
15,Fanatics Inc.,Data Scientist,San+Francisco%2C+CA,0.0,"Ability to use SQL to perform data analysis. At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies...."
