,Id,great,first,many,other,good,much,same,such,own,real,true,different,original,little,few
0,tt0038650,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,tt0047478,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,tt0050083,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3,tt0060196,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4,tt0068646,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5,tt0071562,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
6,tt0073486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,tt0076759,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
8,tt0080684,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9,tt0099685,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
10,tt0102926,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
11,tt0108052,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
12,tt0109830,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13,tt0110912,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
14,tt0111161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,tt0114369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16,tt0114814,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
17,tt0120737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,tt0133093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,tt0137523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,tt0167260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,tt0167261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,tt0317248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,tt0468569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,tt1375666,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
