Year,Frequency,Attribute,Commodity,Unit,U.S. - Central IL,"U.S. - Gulf ports, LA","U.S. - Omaha, NE","U.S. - Chicago, IL","U.S. - Kansas City, MO","U.S. - Toledo, OH","U.S. - Memphis, TN","U.S. - Minneapolis, MN"
2006,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,1.98,2.61,1.88,2.04,1.92,1.94,2.21,1.78
2006,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.07,2.72,1.93,2.09,2.03,2.03,2.32,1.85
2006,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.04,2.67,1.91,2.09,1.98,2,2.33,2.02
2006,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.18,2.74,2.08,2.24,2.17,2.18,2.45,2.06
2006,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.22,2.81,2.11,2.34,2.23,2.34,2.48,2.06
2006,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.15,2.78,2.05,2.27,2.17,2.24,2.39,1.94
2006,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.22,2.9,2.18,2.34,2.27,2.27,2.37,1.85
2006,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.07,2.92,2.04,2.15,2.12,2.16,2.27,1.85
2006,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.21,3.05,2.11,2.21,2.22,2.23,2.52,2.02
2006,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,2.82,3.82,2.79,2.93,2.89,2.79,3.19,2.56
2006,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.43,4.1678,3.29,3.505,3.4712,3.41,3.82,3.18
2006,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.53,4.08,3.4,3.6,3.56,3.54,3.78,3.27
2007,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.66,4.19,3.64,3.78,3.73,3.67,3.86,3.48
2007,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.9,4.5,3.9,3.96,3.96,3.94,4.19,3.77
2007,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.76,3.805,3.803,3.92,3.8668,3.83,4.03,3.67
2007,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.36,3.88,3.39,3.56,3.45,3.44,3.81,3.31
2007,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.52,4.07,3.55,3.75,3.5557,3.63,3.77,3.46
2007,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.68,4.1975,3.768,3.82,3.7352,3.79,3.8676,3.445
2007,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.03,3.73,3.1519,3.19,3.2521,3.29,3.2093,2.86
2007,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.08,3.84,3.1785,3.3,3.2917,3.36,2.8432,2.9525
2007,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.15,4.05,3.17,3.5,3.37,3.45,3.28,3.03
2007,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.28,4.17,3.2,3.4,3.37,3.33,3.66,3.18
2007,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.66,4.35,3.72,3.76,3.7,3.71,3.96,3.51
2007,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.03,4.58,4.11,4.23,4.14,4.18,4.24,3.9
2008,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.55,5.25,4.6383,4.78,4.7243,4.71,4.9019,4.505
2008,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.91,5.59,4.9253,4.99,5.0913,4.99,5.1059,4.825
2008,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.15,5.95,5.1958,5.28,5.32,5.29,5.3985,5.05
2008,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.59,6.26,5.6189,5.77,5.7052,5.75,5.8011,5.37
2008,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.58,6.19,5.6495,5.76,5.7214,5.76,5.7579,5.3638
2008,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.55,7.29,6.6414,6.73,6.8238,6.69,6.7118,6.3299
2008,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.97,6.74,5.95,6.17,6.175,6.03,6.0702,6.3299
2008,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.04,5.97,5.25,5.33,5.3105,5.16,5.2736,4.9875
2008,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5,5.94,5.24,5.27,5.2371,5.12,5.1031,4.87
2008,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.69,4.65,4.01,3.92,3.9585,3.84,3.6046,3.63
2008,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.42,4.18,3.7,3.61,3.6758,3.67,3.3584,3.305
2008,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.33,4.02,3.75,3.45,3.5607,3.54,3.4364,3.31
2009,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.61,4.39,3.75,3.8,3.8608,3.82,3.8339,3.54
2009,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.46,4.15,3.52,3.61,3.575,3.64,3.6662,3.335
2009,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.6,4.18,3.69,3.81,3.725,3.74,3.7866,3.525
2009,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.69,4.29,3.79,3.91,3.7864,3.8,3.8671,3.6875
2009,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.98,4.58,4.06,4.2,4.0973,4.11,4.1436,3.93
2009,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.97,4.56,3.88,4.15,4.0027,4.14,4.053,3.88
2009,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.22,3.86,3.06,3.45,3.1165,3.4,3.2659,3.1975
2009,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.21,3.87,3.12,3.47,3.1452,3.44,3.2367,3.205
2009,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.1,3.82,3.15,3.39,3.0598,3.32,3.2519,3.095
2009,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.52,4.25,3.41,3.78,3.4968,3.6,3.7186,3.3875
2009,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.62,4.36,3.61,3.86,3.66,3.61,3.7883,3.445
2009,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.59,4.18,3.65,3.71,3.69,3.53,3.76,3.315
2010,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.52,4.25,3.595,3.67,3.64,3.48,3.81,3.3
2010,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.39,4.11,3.5,3.54,3.5,3.37,3.7122,3.16
2010,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.4,4.035,3.505,3.56,3.57,3.37,3.665,3.1575
2010,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.36,3.99,3.44,3.53,3.495,3.35,3.635,3.34
2010,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.43,4.145,3.52,3.64,3.565,3.47,3.735,3.3475
2010,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.24,3.88,3.32,3.46,3.36,3.35,3.4916,3.17
2010,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.49,4.145,3.47,3.65,3.56,3.635,3.7065,3.31
2010,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.77,4.455,3.67,3.93,3.7575,3.9,3.965,3.56
2010,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.51,5.225,4.35,4.64,4.4271,4.46,4.662,4.1925
2010,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.19,5.985,4.96,5.21,5.0021,5.08,5.3824,4.7055
2010,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.33,6.05,5.3,5.4,5.2933,5.41,5.6166,5.01
2010,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.65,6.36,5.695,5.7,5.7407,5.82,5.8502,5.579
2011,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.1,6.73,6.095,6.11,6.165,6.22,6.215,5.9675
2011,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.69,7.435,6.67,6.745,6.755,6.785,6.885,6.55
2011,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.59,7.375,6.56,6.655,6.69,6.71,6.875,6.16
2011,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.33,8.11,7.35,7.37,7.42,7.43,7.635,7.02
2011,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.08,7.82,7.16,7.205,7.175,7.285,7.33,6.73
2011,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.17,7.89,7.1,7.25,7.25,7.52,7.32,6.79
2011,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.96,7.64,7.02,6.96,7.08,7.34,6.93,6.58
2011,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.3,7.88,7.27,7.28,7.25,7.56,7.12,6.99
2011,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.77,7.5,6.78,6.9,6.9,7,6.78,6.51
2011,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.23,6.975,6.28,6.33,6.3,6.31,6.4,5.97
2011,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.26,6.97,6.34,6.38,6.46,6.34,6.47,6.03
2011,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.96,6.57,6.055,6.09,6.24,6.03,6.17,5.78
2012,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.25,6.935,6.385,6.365,6.465,6.305,6.55,6.06
2012,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.41,7.1,6.485,6.5,6.585,6.525,6.695,6.2
2012,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.46,7.13,6.53,6.62,6.655,6.555,6.71,6.33
2012,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.34,6.96,6.425,6.505,6.53,6.415,6.565,6.12
2012,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.27,6.84,6.305,6.41,6.405,6.305,6.375,6.02
2012,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.3,6.785,6.36,6.485,6.53,6.33,6.29,6.04
2012,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.85,8.455,7.71,7.9,7.895,7.915,7.63,7.54
2012,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,8.15,8.435,8.11,8.315,8.215,8.16,7.54,7.74
2012,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.7,8.145,7.65,7.905,7.755,7.715,6.85,7.26
2012,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.48,8.155,7.665,7.685,7.685,7.55,7.33,7.07
2012,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.39,8.175,7.635,7.515,7.73,7.45,7.645,7.09
2012,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.23,7.845,7.46,7.275,7.52,7.275,7.32,6.91
2013,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.17,7.7,7.4,7.32,7.515,7.265,7.34,6.94
2013,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.15,7.695,7.32,7.26,7.45,7.235,7.31,6.95
2013,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,7.33,7.85,7.5,7.425,7.625,7.36,7.46,7.07
2013,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.57,7.11,6.795,6.69,6.905,6.605,6.655,6.37
2013,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.83,7.5025,7.1305,7,7.17,6.895,7.005,6.78
2013,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.94,7.58,7.22,7.14,7.325,6.995,6.97,6.91
2013,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,6.61,7.1,6.62,6.565,6.77,6.615,6.17,6.47
2013,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,5.98,6.065,6.05,6.275,5.685,5.935,4.86,5.89
2013,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.78,5.27,5.045,5.035,5.09,4.84,4.435,4.86
2013,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.2,5.125,4.3,4.37,4.31,4.1,4.345,4.18
2013,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.1,5.06,4.135,4.26,4.24,4.025,4.36,4.14
2013,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.13,5.06,4.22,4.29,4.28,4.235,4.52,4.12
2014,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.13,5.03,4.2,4.28,4.33,4.145,4.55,4.08
2014,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.33,5.32,4.365,4.465,4.495,4.35,4.875,4.26
2014,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.64,5.65,4.605,4.79,4.795,4.645,5.095,4.46
2014,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.98,5.65,4.895,5.03,4.98,4.835,5.255,4.73
2014,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.72,5.51,4.79,4.935,4.9,4.7,5.13,4.64
2014,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,4.37,5.14,4.47,4.555,4.55,4.335,4.76,4.28
