Date,Antioquia,Eje,Bogot‡,Valle,Nacional
8-Jan-10,6462.33,6189.75,6115.75,,6229.16
15-Jan-10,6438.47,6091.18,6214.40,,6194.56
22-Jan-10,6321.18,6162.45,6256.79,,6221.21
29-Jan-10,6259.65,6110.11,6351.40,,6186.28
5-Feb-10,6239.19,6127.92,6287.73,,6189.93
12-Feb-10,6157.41,6083.90,6158.45,,6123.93
19-Feb-10,6204.67,6086.24,6190.16,6085.00,6130.76
26-Feb-10,6183.19,6147.97,6159.42,6103.80,6150.95
5-Mar-10,6212.14,6138.64,6114.45,6084.98,6146.05
12-Mar-10,6097.48,6063.55,5946.01,6068.44,6052.61
19-Mar-10,6038.83,6057.32,5941.63,6043.20,6033.04
26-Mar-10,6107.43,5959.26,5972.72,6032.11,5999.59
2-Apr-10,6047.09,5959.00,5848.19,6052.54,5979.02
9-Apr-10,6008.21,5950.06,5910.51,5994.24,5965.06
16-Apr-10,5878.61,5882.38,5880.50,5912.05,5887.10
23-Apr-10,5679.39,5767.76,5778.72,5869.93,5779.33
30-Apr-10,5636.47,5750.15,5823.40,5812.51,5752.47
7-May-10,5656.15,5728.14,5818.96,5741.70,5739.29
14-May-10,5480.54,5690.52,5740.96,5714.58,5661.81
21-May-10,5715.34,5570.21,5654.92,5506.06,5620.14
28-May-10,5414.73,5578.00,5695.42,5470.11,5533.20
4-Jun-10,5123.99,5426.35,5400.00,5400.11,5374.69
11-Jun-10,5196.81,5538.70,5242.55,5353.80,5426.49
18-Jun-10,5221.60,5365.19,5389.91,5238.10,5322.56
25-Jun-10,5303.77,5422.98,5253.81,5253.57,5336.54
2-Jul-10,5028.09,5508.80,5426.32,5260.74,5375.61
9-Jul-10,5110.92,5408.46,5579.79,5196.29,5386.56
16-Jul-10,5305.42,5424.07,5603.85,5260.08,5439.90
23-Jul-10,5584.59,5482.93,5785.13,5319.78,5557.73
30-Jul-10,5602.59,5477.23,5883.49,5315.34,5640.96
6-Aug-10,5571.10,5469.68,5953.96,5335.11,5595.18
13-Aug-10,5655.16,5545.00,6068.73,5532.69,5713.05
20-Aug-10,5787.48,5520.45,6092.82,5563.79,5670.74
27-Aug-10,5787.58,5541.48,5979.04,5491.22,5705.40
3-Sep-10,5796.14,5423.59,5996.64,5620.23,5613.96
10-Sep-10,5711.26,5485.21,5924.85,5491.38,5634.73
17-Sep-10,5556.98,5456.38,5882.96,5361.49,5559.34
24-Sep-10,5631.17,5532.07,5825.55,5386.59,5617.79
1-Oct-10,5876.17,5562.00,5894.78,5386.99,5665.56
8-Oct-10,5816.48,5503.33,5923.16,5411.49,5683.04
15-Oct-10,5800.28,5584.03,5851.77,5450.00,5691.70
22-Oct-10,5708.53,5573.42,5901.95,5353.43,5657.24
29-Oct-10,5848.71,5551.88,5901.23,5396.63,5710.89
5-Nov-10,5677.06,5542.76,5931.53,5380.26,5651.49
12-Nov-10,5732.81,5500.21,5936.53,5454.76,5698.27
19-Nov-10,5762.91,5630.53,5986.63,5514.06,5770.97
26-Nov-10,5818.41,5540.86,5938.23,5586.11,5719.39
3-Dec-10,6057.23,5715.22,6022.82,5547.78,5852.25
10-Dec-10,6320.75,5736.61,6039.22,5629.38,5892.31
17-Dec-10,6271.92,5864.42,6197.69,5905.69,6050.01
24-Dec-10,6283.87,5945.06,6156.08,6164.24,6086.06
31-Dec-10,,,,,
7-Jan-11,6397.82,5983.60,6022.13,6275.43,6071.72
14-Jan-11,6474.92,6167.75,6017.13,6292.75,6189.00
21-Jan-11,6399.82,6050.26,6304.14,6306.34,6199.61
28-Jan-11,6322.30,5935.64,6195.20,5981.13,6041.41
4-Feb-11,6263.75,5916.50,6267.51,6158.11,6077.96
11-Feb-11,6187.61,5960.74,5987.17,6206.66,6011.43
18-Feb-11,6163.02,6008.43,5965.66,6201.84,6032.62
25-Feb-11,6131.41,5990.50,5954.96,6152.21,6008.29
4-Mar-11,6156.68,5870.12,6020.06,6180.40,5963.28
11-Mar-11,6168.59,5820.79,6007.57,6063.16,5925.32
18-Mar-11,6180.49,5775.31,6007.18,6065.94,5890.71
25-Mar-11,6140.56,5755.25,5963.27,5828.22,5851.31
1-Apr-11,6080.53,5686.67,5962.01,5717.61,5813.20
8-Apr-11,6118.44,5624.70,5924.59,5627.65,5762.93
15-Apr-11,5961.85,5562.61,5880.57,5577.56,5709.09
22-Apr-11,5788.23,5547.49,5764.37,5561.46,5614.72
29-Apr-11,5514.55,5511.75,5818.03,5402.02,5608.05
6-May-11,5457.53,5557.21,5687.53,5273.02,5558.13
13-May-11,5615.12,5174.17,5746.47,5336.55,5435.94
20-May-11,5820.68,5146.68,5548.86,5159.63,5335.46
27-May-11,5688.95,5117.43,5555.99,5146.08,5347.93
3-Jun-11,5714.01,5104.91,5580.29,4994.91,5377.67
10-Jun-11,5685.19,5149.36,5490.36,5016.04,5316.50
17-Jun-11,5628.61,5151.84,5524.55,5072.29,5300.88
24-Jun-11,5501.95,5064.72,5487.28,5047.00,5246.80
1-Jul-11,5657.05,5081.00,5563.66,4954.46,5303.43
8-Jul-11,5340.40,5134.27,5665.36,5195.49,5306.51
15-Jul-11,5602.37,5307.77,5795.73,5261.26,5434.99
22-Jul-11,5667.40,5424.17,5813.39,5300.00,5563.97
29-Jul-11,5700.81,5538.45,5879.03,5450.00,5694.14
5-Aug-11,5767.94,5611.27,6038.34,5550.00,5798.88
12-Aug-11,5919.64,5692.01,6057.90,5686.96,5845.51
19-Aug-11,5982.12,5828.91,6076.08,5705.47,5930.44
26-Aug-11,5974.23,5930.92,6045.24,5806.69,5961.63
2-Sep-11,6081.97,5963.52,6177.18,5935.23,6071.22
9-Sep-11,6049.07,5906.79,6103.21,5828.45,5993.03
16-Sep-11,6081.28,5935.62,6197.65,5870.32,6033.61
23-Sep-11,6061.21,5981.37,6144.05,5865.04,6049.24
30-Sep-11,5899.32,5914.41,6145.77,5885.70,5988.27
7-Oct-11,5921.08,5970.20,6186.62,5891.76,6025.90
14-Oct-11,5912.98,5941.54,6227.01,5880.94,6039.67
21-Oct-11,5926.32,6000.73,6228.50,5904.02,6039.37
28-Oct-11,5962.50,6003.55,6233.56,5927.81,6071.27
4-Nov-11,6120.25,6082.45,6189.28,5968.66,6121.85
11-Nov-11,6165.03,6090.41,6337.33,5992.54,6168.35
18-Nov-11,6137.18,6119.70,6413.76,6012.91,6225.04
25-Nov-11,6339.36,6156.27,6385.87,5996.02,6263.69
2-Dec-11,6371.92,6130.60,6388.30,6008.95,6254.31
9-Dec-11,6418.55,6133.90,6440.59,6040.20,6258.16
16-Dec-11,6529.62,6226.73,6527.50,6148.12,6350.22
23-Dec-11,6582.57,6273.79,6588.40,6246.36,6416.63
30-Dec-11,,,,,
6-Jan-12,6453.90,6138.31,6400.99,6049.88,6268.41
13-Jan-12,6399.17,6086.10,6341.21,5997.89,6185.45
20-Jan-12,6251.48,6083.28,6188.42,5903.96,6125.79
27-Jan-12,6003.92,6009.00,6140.16,5872.44,6034.31
3-Feb-12,5902.14,5910.13,6137.11,5822.76,5947.86
10-Feb-12,5844.88,5886.35,6070.57,5826.01,5931.27
17-Feb-12,5787.10,5813.42,5944.93,5803.45,5832.76
24-Feb-12,5708.16,5660.88,5895.64,5837.93,5738.28
2-Mar-12,5552.60,5650.02,5865.66,5740.63,5668.67
9-Mar-12,5436.58,5431.30,5788.35,5643.33,5589.54
16-Mar-12,5424.95,5404.70,5625.11,5614.70,5516.64
23-Mar-12,5408.32,5212.45,5582.39,5586.11,5412.69
30-Mar-12,5368.14,5165.67,5571.76,5471.69,5379.97
6-Apr-12,5295.19,5075.21,5510.81,5373.94,5324.57
13-Apr-12,5347.67,5044.54,5524.87,5406.24,5290.34
20-Apr-12,5193.26,5030.70,5380.64,5390.61,5195.70
27-Apr-12,5046.28,4961.22,5266.48,5328.58,5080.75
4-May-12,5072.90,4991.82,5251.27,5061.46,5107.25
11-May-12,5026.97,4945.24,5202.75,5254.13,5060.04
18-May-12,5047.52,4911.83,5226.77,5214.26,5075.32
25-May-12,5118.70,5057.70,5325.25,5222.04,5170.97
1-Jun-12,5128.13,5055.24,5327.76,5200.27,5158.55
8-Jun-12,5172.26,5056.66,5366.23,5150.83,5185.13
15-Jun-12,5201.59,5087.52,5367.28,5186.12,5198.26
22-Jun-12,5252.46,5087.98,5415.60,5206.62,5240.67
29-Jun-12,5320.74,5162.07,5468.95,5253.15,5285.25
6-Jul-12,5383.45,5178.19,5517.75,5265.60,5308.65
13-Jul-12,5463.52,5211.97,5611.11,5296.87,5395.77
20-Jul-12,5565.05,5297.22,5665.69,5414.70,5501.05
27-Jul-12,5697.17,5429.21,5712.13,5483.03,5573.07
3-Aug-12,5762.30,5485.06,5875.42,5484.62,5638.73
10-Aug-12,5788.22,5548.77,5946.06,5565.70,5686.20
17-Aug-12,5799.24,5550.72,6023.97,5604.58,5690.03
24-Aug-12,5826.97,5569.39,6025.62,5628.43,5740.20
31-Aug-12,5861.69,5618.28,6048.79,5673.00,5818.23
7-Sep-12,5896.37,5692.89,6065.61,5706.84,5839.42
14-Sep-12,5933.47,5720.32,6082.15,5708.93,5871.41
21-Sep-12,5945.62,5738.90,6107.06,5753.75,5898.05
28-Sep-12,5975.13,5769.10,6110.48,5766.15,5921.37
5-Oct-12,6007.81,5765.19,6137.95,5795.45,5925.99
12-Oct-12,6010.33,5827.85,6150.82,5776.83,5996.88
19-Oct-12,6007.11,5788.62,6102.59,5750.00,5937.59
26-Oct-12,6016.67,5798.05,6109.74,5766.00,5973.05
2-Nov-12,6046.07,5801.90,6149.43,5790.67,5963.63
9-Nov-12,6069.94,5858.81,6155.44,5820.76,6009.98
16-Nov-12,6106.48,5868.35,6110.54,5773.01,5976.97
23-Nov-12,6128.78,5888.95,6129.97,5821.65,5986.79
30-Nov-12,6171.94,5920.79,6169.24,5862.19,6040.57
7-Dec-12,6184.72,5894.42,6192.12,5885.38,6033.42
14-Dec-12,6185.53,5953.01,6208.02,5866.31,6051.52
21-Dec-12,6222.32,5965.67,6237.52,5907.92,6080.09
28-Dec-12,,,,,
4-Jan-13,6260.73,5978.62,6190.17,5931.85,6084.79
11-Jan-13,6223.11,5961.25,6136.26,5917.29,6066.80
18-Jan-13,6126.06,5931.08,6003.35,5838.21,5982.71
25-Jan-13,6027.75,5917.74,5982.72,5788.95,5948.02
1-Feb-13,5990.87,5894.67,5976.52,5773.76,5922.38
8-Feb-13,5968.31,5763.95,5975.15,5755.85,5882.14
15-Feb-13,5923.82,5792.91,5964.89,5788.93,5890.28
22-Feb-13,5939.26,5853.74,5973.75,5798.43,5906.48
1-Mar-13,6002.29,5861.80,6017.34,5833.42,5951.02
8-Mar-13,6016.34,5895.46,6018.25,5807.04,5971.36
15-Mar-13,5932.76,5867.55,6006.62,5767.62,5914.29
22-Mar-13,5789.28,5919.82,6015.65,5633.79,5882.24
29-Mar-13,5845.22,5817.57,6057.62,5708.20,5876.51
5-Apr-13,5946.45,5877.83,6128.20,5735.65,5941.01
12-Apr-13,5957.63,5867.32,6137.92,5743.57,5922.18
19-Apr-13,5846.17,5840.48,6031.54,5754.47,5883.60
26-Apr-13,5981.06,5821.72,6036.10,5749.42,5922.50
3-May-13,5967.43,5811.03,6078.61,5744.98,5935.92
10-May-13,5966.32,5823.67,6174.30,5744.41,5965.37
17-May-13,5939.86,5808.83,6155.84,5735.76,5941.24
24-May-13,5931.10,5790.38,6247.45,5728.24,5959.81
31-May-13,5947.91,5786.65,6182.62,5730.66,5946.19
7-Jun-13,5941.06,5774.48,6271.64,5771.07,5974.56
14-Jun-13,5970.03,5827.41,6260.74,5745.86,5991.76
21-Jun-13,5973.93,5804.25,6348.24,5742.33,6000.24
28-Jun-13,5999.97,5813.94,6320.82,5758.49,6031.04
5-Jul-13,6090.05,5884.22,6399.24,5888.13,6050.48
12-Jul-13,6176.04,5872.12,6356.00,5859.03,6096.30
19-Jul-13,6154.04,5874.04,6432.02,5886.06,6107.90
26-Jul-13,6189.41,5967.08,6477.94,5900.87,6149.61
2-Aug-13,6164.81,5942.42,6517.45,6010.34,6180.87
9-Aug-13,6183.71,5986.79,6508.74,6100.94,6192.68
16-Aug-13,6192.68,5984.01,6507.21,6103.33,6193.27
23-Aug-13,6294.60,6002.83,6539.16,6142.43,6258.40
30-Aug-13,6402.70,6020.90,6556.58,6145.97,6266.85
6-Sep-13,6477.74,6140.20,6526.48,6152.86,6325.99
13-Sep-13,6275.31,6135.46,6687.16,6259.69,6305.69
20-Sep-13,6332.09,6010.63,6428.23,6209.65,6241.26
27-Sep-13,6314.08,6130.34,6488.19,6171.80,6271.75
4-Oct-13,6418.48,6116.45,6393.84,6086.83,6232.72
11-Oct-13,6411.93,6111.77,6538.29,6251.81,6320.21
18-Oct-13,6419.03,6202.87,6503.85,6239.31,6337.82
25-Oct-13,6409.89,6210.85,6544.39,6185.83,6337.95
1-Nov-13,6425.40,6224.47,6502.90,6234.05,6327.94
8-Nov-13,6463.73,6247.52,6560.40,6131.47,6324.19
15-Nov-13,6437.37,6224.45,6561.06,6190.17,6329.40
22-Nov-13,6412.54,6317.13,6635.09,6236.00,6382.09
29-Nov-13,6439.98,6314.67,6634.50,6359.09,6428.35
6-Dec-13,6428.42,6320.72,6678.16,6339.33,6440.73
13-Dec-13,6418.23,6341.20,6726.63,6538.48,6520.41
20-Dec-13,6463.38,6383.07,6637.81,6598.41,6553.88
27-Dec-13,6482.36,6400.45,6565.88,6641.69,6566.83
3-Jan-14,6577.76,6410.52,6527.58,6583.37,6549.66
10-Jan-14,6564.53,6401.72,6611.94,6628.01,6577.57
17-Jan-14,6524.58,6380.52,6667.90,6702.52,6598.44
24-Jan-14,6644.90,6350.13,6670.34,6596.67,6563.51
31-Jan-14,6560.08,6329.57,6674.23,6707.39,6575.50
7-Feb-14,6641.13,6422.57,6651.95,6704.83,6628.79
14-Feb-14,6663.85,6463.51,6793.69,6729.32,6684.38
21-Feb-14,6401.19,6384.16,6648.67,6681.73,6581.53
28-Feb-14,6259.31,6441.20,6617.34,6719.63,6565.19
7-Mar-14,6536.68,6412.10,6653.74,6729.16,6606.84
14-Mar-14,6298.94,6345.65,6757.68,6743.39,6523.56
21-Mar-14,6579.04,6391.08,6663.82,6687.08,6584.78
28-Mar-14,6745.72,6368.85,6773.21,6696.11,6636.30
4-Apr-14,6731.49,6366.91,6729.24,6627.74,6606.33
11-Apr-14,6624.89,6381.41,6912.79,6629.34,6618.25
18-Apr-14,6774.70,6371.93,6687.61,6650.65,6586.78
25-Apr-14,6821.09,6432.90,6738.45,6642.05,6646.73
2-May-14,6761.85,6260.97,6729.76,6754.02,6635.88
9-May-14,6718.13,6533.01,6748.21,6819.39,6729.86
16-May-14,6642.83,6508.65,6866.48,6899.94,6723.45
23-May-14,6618.53,6524.42,6783.77,6719.76,6683.33
30-May-14,6640.06,6550.05,6818.70,6718.29,6686.01
6-Jun-14,6664.17,6446.71,6817.70,6746.64,6692.06
13-Jun-14,6727.08,6560.18,6827.44,6638.06,6674.08
20-Jun-14,6720.47,6564.98,6812.50,6682.67,6697.49
27-Jun-14,6708.98,6534.28,6644.88,6728.81,6684.87
4-Jul-14,6710.43,6601.26,6971.59,6767.02,6758.83
11-Jul-14,6665.73,6561.44,6775.69,6579.66,6627.83
18-Jul-14,6685.79,6554.51,6700.08,6591.20,6630.28
25-Jul-14,6729.31,6578.22,6666.36,6634.29,6658.39
1-Aug-14,6716.87,6609.51,6757.28,6609.49,6661.94
8-Aug-14,6741.35,6572.02,6760.77,6610.65,6663.04
15-Aug-14,6620.98,6553.63,6908.21,6633.30,6668.16
22-Aug-14,6683.34,6592.58,6863.87,6649.11,6683.27
29-Aug-14,6627.50,6583.27,6840.91,6606.27,6647.17
5-Sep-14,6700.19,6585.62,6749.72,6558.33,6631.40
12-Sep-14,6632.16,6555.52,6581.79,6606.49,6603.51
19-Sep-14,6590.53,6562.47,6799.83,6528.40,6591.09
26-Sep-14,6473.59,6515.62,6748.06,6427.70,6496.31
3-Oct-14,6590.17,6577.73,6740.06,6436.01,6537.06
10-Oct-14,6647.57,6596.61,6747.12,6583.04,6619.42
17-Oct-14,6692.81,6278.18,6843.42,6557.44,6601.07
24-Oct-14,6665.10,6540.33,6715.52,6638.72,6642.03
31-Oct-14,6634.20,6557.33,6779.44,6577.57,6620.96
7-Nov-14,6552.42,6539.59,6813.68,6627.44,6619.63
14-Nov-14,6541.25,6525.03,6735.41,6639.05,6612.68
21-Nov-14,6573.39,6553.87,6735.31,6675.92,6652.38
28-Nov-14,6481.08,6566.00,6742.04,6739.71,6642.55
5-Dec-14,6503.38,6544.35,6698.94,6750.79,6661.99
12-Dec-14,6590.33,6521.56,6787.61,6745.29,6709.51
19-Dec-14,6498.29,6582.50,6780.67,6691.23,6649.35
26-Dec-14,,,,,
2-Jan-15,,,,,
