Mes,Precio
jul. 1996,"210.287,30"
ago. 1996,"195.261,90"
sep. 1996,"151.174,40"
oct. 1996,"130.639,10"
nov. 1996,"116.951,00"
dic. 1996,"116.942,00"
ene. 1997,"122.007,70"
feb. 1997,"130.789,00"
mar. 1997,"135.793,20"
abr. 1997,"132.273,50"
may. 1997,"127.476,60"
jun. 1997,"121.827,70"
jul. 1997,"117.317,00"
ago. 1997,"126.693,30"
sep. 1997,"137.212,50"
oct. 1997,"151.862,30"
nov. 1997,"151.943,10"
dic. 1997,"147.261,50"
ene. 1998,"151.288,80"
feb. 1998,"152.946,20"
mar. 1998,"154.492,00"
abr. 1998,"145.160,90"
may. 1998,"146.946,70"
jun. 1998,"140.988,20"
jul. 1998,"138.410,90"
ago. 1998,"122.701,50"
sep. 1998,"130.323,60"
oct. 1998,"151.592,90"
nov. 1998,"152.236,60"
dic. 1998,"145.110,90"
ene. 1999,"152.975,40"
feb. 1999,"148.187,20"
mar. 1999,"149.455,80"
abr. 1999,"148.290,70"
may. 1999,"151.767,00"
jun. 1999,"157.403,50"
jul. 1999,"151.785,00"
ago. 1999,"161.853,80"
sep. 1999,"172.288,30"
oct. 1999,"169.455,00"
nov. 1999,"166.262,90"
dic. 1999,"164.663,00"
ene. 2000,"178.878,50"
feb. 2000,"185.466,80"
mar. 2000,"186.163,20"
abr. 2000,"189.904,50"
may. 2000,"196.331,20"
jun. 2000,"178.208,00"
jul. 2000,"162.224,20"
ago. 2000,"164.577,40"
sep. 2000,"177.432,90"
oct. 2000,"184.396,40"
nov. 2000,"190.001,20"
dic. 2000,"209.918,70"
ene. 2001,"211.364,20"
feb. 2001,"207.247,60"
mar. 2001,"207.324,10"
abr. 2001,"203.387,40"
may. 2001,"199.474,00"
jun. 2001,"191.710,50"
jul. 2001,"209.089,60"
ago. 2001,"212.571,30"
sep. 2001,"208.964,60"
oct. 2001,"200.246,40"
nov. 2001,"207.639,20"
dic. 2001,"213.048,50"
ene. 2002,"209.314,00"
feb. 2002,"207.565,20"
mar. 2002,"204.989,50"
abr. 2002,"197.139,10"
may. 2002,"208.475,30"
jun. 2002,"219.947,50"
jul. 2002,"249.452,60"
ago. 2002,"290.684,60"
sep. 2002,"313.475,70"
oct. 2002,"310.229,80"
nov. 2002,"296.892,70"
dic. 2002,"301.038,40"
ene. 2003,"307.706,40"
feb. 2003,"312.999,80"
mar. 2003,"310.872,50"
abr. 2003,"308.005,50"
may. 2003,"308.212,60"
jun. 2003,"302.455,30"
jul. 2003,"279.049,90"
ago. 2003,"287.657,70"
sep. 2003,"293.152,60"
oct. 2003,"299.613,20"
nov. 2003,"307.296,50"
dic. 2003,"314.511,30"
ene. 2004,"316.427,50"
feb. 2004,"334.062,40"
mar. 2004,"343.010,70"
abr. 2004,"351.663,00"
may. 2004,"351.584,60"
jun. 2004,"334.473,70"
jul. 2004,"277.322,70"
ago. 2004,"270.683,30"
sep. 2004,"249.499,20"
oct. 2004,"241.167,40"
nov. 2004,"237.103,60"
dic. 2004,"231.033,80"
ene. 2005,"226.780,20"
feb. 2005,"220.866,90"
mar. 2005,"235.225,30"
